policy,ipc_gmean,l2_miss_rate_gmean,ipc_mean,l2_miss_rate_mean,ipc_gmean_vs_lru_%,l2_miss_rate_gmean_reduction_vs_lru_%
lru,0.9068465841473607,0.2961271066076154,1.15032,0.4361804421146277,0.0,0.0
lru_bip,0.927539432192343,0.347233691968115,1.1662050000000002,0.500132452568882,2.281846610740468,-17.258327326386457
lru_lip,0.932479674463706,0.3696004734942269,1.17039,0.5255993557565242,2.8266181694278636,-24.811429027322298
pseudo_lru,0.906711694232977,0.2961159489085913,1.15015,0.4366560093558483,-0.014874612392190567,0.0037678749344904894
srrip,0.9246920392172092,0.3964899222577555,1.16105,0.5340158560945651,1.9678582223063845,-33.891803016576375
